
Channel      Spectral axis      Intensity
1.27000E+02      1.418625244E+03    3.72021E-02
1.28000E+02      1.418562744E+03   -3.77209E-02
1.29000E+02      1.418500244E+03   -5.37125E-03
1.30000E+02      1.418437744E+03   -1.92572E-02
1.31000E+02      1.418375244E+03   -7.35495E-03
1.32000E+02      1.418312744E+03   -5.52384E-03
1.33000E+02      1.418250244E+03    2.25838E-03
1.34000E+02      1.418187744E+03    1.19023E-03
1.35000E+02      1.418125244E+03    2.97250E-02
1.36000E+02      1.418062744E+03   -4.07727E-02
1.37000E+02      1.418000244E+03    2.57576E-02
1.38000E+02      1.417937744E+03    2.25838E-03
1.39000E+02      1.417875244E+03    2.46895E-02
1.40000E+02      1.417812744E+03   -2.47199E-03
1.41000E+02      1.417750244E+03    3.24717E-02
1.42000E+02      1.417687744E+03    1.80060E-03
1.43000E+02      1.417625244E+03    2.81991E-02
1.44000E+02      1.417562744E+03   -1.49846E-02
1.45000E+02      1.417500244E+03   -2.76498E-02
1.46000E+02      1.417437744E+03   -3.39061E-02
1.47000E+02      1.417375244E+03   -1.54424E-02
1.48000E+02      1.417312744E+03   -2.36824E-02
1.49000E+02      1.417250244E+03   -4.91347E-03
1.50000E+02      1.417187744E+03   -7.66013E-03
1.51000E+02      1.417125244E+03   -5.06606E-03
1.52000E+02      1.417062744E+03   -2.21564E-02
1.53000E+02      1.417000244E+03    3.67443E-02
1.54000E+02      1.416937744E+03   -1.48320E-02
1.55000E+02      1.416875244E+03    6.07319E-03
1.56000E+02      1.416812744E+03   -1.25125E-03
1.57000E+02      1.416750244E+03   -1.95624E-02
1.58000E+02      1.416687744E+03   -3.11594E-02
1.59000E+02      1.416625244E+03    6.07319E-03
1.60000E+02      1.416562744E+03   -1.13224E-02
1.61000E+02      1.416500244E+03    4.54421E-02
1.62000E+02      1.416437744E+03    7.59912E-03
1.63000E+02      1.416375244E+03    1.22085E-04
1.64000E+02      1.416312744E+03    7.75171E-03
1.65000E+02      1.416250244E+03   -4.60828E-03
1.66000E+02      1.416187744E+03   -1.97149E-02
1.67000E+02      1.416125244E+03    4.51369E-02
1.68000E+02      1.416062744E+03    1.09562E-02
1.69000E+02      1.416000244E+03    3.01828E-02
1.70000E+02      1.415937744E+03   -1.36112E-02
1.71000E+02      1.415875244E+03    2.10273E-02
1.72000E+02      1.415812744E+03   -1.83100E-04
1.73000E+02      1.415750244E+03   -1.40690E-02
1.74000E+02      1.415687744E+03   -2.21564E-02
1.75000E+02      1.415625244E+03    1.06510E-02
1.76000E+02      1.415562744E+03   -3.80260E-02
1.77000E+02      1.415500244E+03   -9.49125E-03
1.78000E+02      1.415437744E+03    2.85043E-02
1.79000E+02      1.415375244E+03    3.81176E-02
1.80000E+02      1.415312744E+03   -1.86162E-03
1.81000E+02      1.415250244E+03    1.09562E-02
1.82000E+02      1.415187744E+03   -1.83416E-02
1.83000E+02      1.415125244E+03   -3.35692E-04
1.84000E+02      1.415062744E+03    5.76801E-03
1.85000E+02      1.415000244E+03    1.75176E-02
1.86000E+02      1.414937744E+03   -4.10779E-02
1.87000E+02      1.414875244E+03   -2.16986E-02
1.88000E+02      1.414812744E+03    5.79863E-04
1.89000E+02      1.414750244E+03    7.59912E-03
1.90000E+02      1.414687744E+03    1.53813E-02
1.91000E+02      1.414625244E+03    9.12505E-03
1.92000E+02      1.414562744E+03   -1.97149E-02
1.93000E+02      1.414500244E+03    1.29399E-02
1.94000E+02      1.414437744E+03   -9.33865E-03
1.95000E+02      1.414375244E+03    1.84332E-02
1.96000E+02      1.414312744E+03   -8.27050E-03
1.97000E+02      1.414250244E+03    1.43132E-02
1.98000E+02      1.414187744E+03   -1.86162E-03
1.99000E+02      1.414125244E+03   -2.00201E-02
2.00000E+02      1.414062744E+03    1.15665E-02
2.01000E+02      1.414000244E+03   -4.60828E-03
2.02000E+02      1.413937744E+03   -1.02542E-02
2.03000E+02      1.413875244E+03    3.24717E-02
2.04000E+02      1.413812744E+03    5.79863E-04
2.05000E+02      1.413750244E+03    6.37838E-03
2.06000E+02      1.413687744E+03   -3.40586E-02
2.07000E+02      1.413625244E+03    1.59917E-02
2.08000E+02      1.413562744E+03    2.86875E-03
2.09000E+02      1.413500244E+03   -1.25125E-03
2.10000E+02      1.413437744E+03   -1.57475E-02
2.11000E+02      1.413375244E+03    2.49947E-02
2.12000E+02      1.413312744E+03   -5.82902E-03
2.13000E+02      1.413250244E+03   -3.23495E-03
2.14000E+02      1.413187744E+03   -3.69273E-03
2.15000E+02      1.413125244E+03   -3.08236E-03
2.16000E+02      1.413062744E+03   -5.82902E-03
2.17000E+02      1.413000244E+03   -2.31940E-03
2.18000E+02      1.412937744E+03   -6.89717E-03
2.19000E+02      1.412875244E+03    8.97245E-03
2.20000E+02      1.412812744E+03   -5.06606E-03
2.21000E+02      1.412750244E+03    6.98875E-03
2.22000E+02      1.412687744E+03   -2.44453E-02
2.23000E+02      1.412625244E+03   -1.70903E-03
2.24000E+02      1.412562744E+03   -3.05073E-05
2.25000E+02      1.412500244E+03   -9.46063E-04
2.26000E+02      1.412437744E+03   -2.06305E-02
2.27000E+02      1.412375244E+03    8.05690E-03
2.28000E+02      1.412312744E+03   -2.77717E-03
2.29000E+02      1.412250244E+03   -9.49125E-03
2.30000E+02      1.412187744E+03    2.10579E-03
2.31000E+02      1.412125244E+03    7.90431E-03
2.32000E+02      1.412062744E+03   -1.07120E-02
2.33000E+02      1.412000244E+03   -5.37125E-03
2.34000E+02      1.411937744E+03   -2.36824E-02
2.35000E+02      1.411875244E+03    2.59102E-02
2.36000E+02      1.411812744E+03    4.08949E-03
2.37000E+02      1.411750244E+03   -4.60828E-03
2.38000E+02      1.411687744E+03   -1.70903E-03
2.39000E+02      1.411625244E+03    5.92060E-03
2.40000E+02      1.411562744E+03   -1.31535E-02
2.41000E+02      1.411500244E+03   -2.41401E-02
2.42000E+02      1.411437744E+03   -1.16275E-02
2.43000E+02      1.411375244E+03    1.56865E-02
2.44000E+02      1.411312744E+03    2.69784E-02
2.45000E+02      1.411250244E+03    1.76702E-02
2.46000E+02      1.411187744E+03    1.72125E-02
